iter	Passed	Remaining
0	1	119
1	2	117
2	3	111
3	4	102
4	5	101
5	6	99
6	7	99
7	10	122
8	11	118
9	12	116
10	14	113
11	15	111
12	16	108
13	17	105
14	18	103
15	19	101
16	20	100
17	21	99
18	23	98
19	24	98
20	25	96
21	26	94
22	27	92
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	36	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	44	73
38	45	71
39	46	70
40	50	73
41	51	70
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	64	57
53	65	56
54	66	54
55	67	53
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	74	45
62	75	44
63	76	42
64	77	41
65	80	41
66	81	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	110	10
91	111	9
92	113	8
93	114	7
94	116	6
95	119	4
96	120	3
97	123	2
98	125	1
99	128	0
