iter	RMSE
0	14.62316096
1	14.22482295
2	13.86945004
3	13.52545276
4	13.23119862
5	12.89055478
6	12.60308968
7	12.29936063
8	12.00287519
9	11.71205488
10	11.45103026
11	11.19049933
12	10.94408447
13	10.68916802
14	10.45642377
15	10.22997587
16	10.02450101
17	9.819094344
18	9.629729646
19	9.422958333
20	9.256906565
21	9.081298233
22	8.926491396
23	8.759071005
24	8.602530261
25	8.45667137
26	8.322936377
27	8.188714392
28	8.07949046
29	7.966551281
30	7.872714113
31	7.751690317
32	7.653355833
33	7.559108203
34	7.456402317
35	7.369432006
36	7.269204915
37	7.185116121
38	7.10302506
39	7.019274239
40	6.933745532
41	6.863811103
42	6.799324296
43	6.740416969
44	6.682983343
45	6.619704582
46	6.564864592
47	6.512178758
48	6.462430767
49	6.407833421
50	6.35250076
51	6.307843281
52	6.263455073
53	6.218869502
54	6.178981691
55	6.133843135
56	6.103743894
57	6.067547909
58	6.030494915
59	5.994313981
60	5.961330447
61	5.935777886
62	5.907738228
63	5.875797242
64	5.853184032
65	5.829669287
66	5.804732518
67	5.775915651
68	5.749779654
69	5.723520246
70	5.702399239
71	5.685778394
72	5.662495691
73	5.642415179
74	5.622905821
75	5.604518325
76	5.58464493
77	5.562518358
78	5.548765403
79	5.530302515
80	5.511469732
81	5.49897487
82	5.484627239
83	5.469845171
84	5.455442872
85	5.442950617
86	5.427748298
87	5.412136022
88	5.402553441
89	5.389362641
90	5.379943003
91	5.372753446
92	5.363142603
93	5.350828933
94	5.340933498
95	5.330727503
96	5.321071887
97	5.310368244
98	5.301269084
99	5.293021984
100	5.281307795
101	5.274679979
102	5.26842745
103	5.258885271
104	5.249587447
105	5.239553494
106	5.231080185
107	5.221786105
108	5.214709272
109	5.206692806
110	5.19714517
111	5.190789565
112	5.185085747
113	5.176907211
114	5.169231917
115	5.16443669
116	5.15947987
117	5.152430058
118	5.144887817
119	5.139427067
120	5.133052796
121	5.124827868
122	5.119071912
123	5.111082007
124	5.100712597
125	5.097601117
126	5.091302795
127	5.087737478
128	5.08411041
129	5.079314773
130	5.074221895
131	5.069028995
132	5.065105511
133	5.058103626
134	5.051764622
135	5.047333551
136	5.040765817
137	5.035082299
138	5.031172789
139	5.027462383
140	5.022473597
141	5.01931326
142	5.016580946
143	5.012113128
144	5.007612648
145	5.002407971
146	4.996018526
147	4.991336392
148	4.98688937
149	4.98440439
150	4.978387411
151	4.974622435
152	4.967956238
153	4.962911843
154	4.959937461
155	4.959138439
156	4.952167153
157	4.948387918
158	4.947177321
159	4.942835514
160	4.941363815
161	4.936736584
162	4.930270731
163	4.927047243
164	4.923678636
165	4.920761082
166	4.915825529
167	4.911734655
168	4.909492898
169	4.905425409
170	4.902741394
171	4.89601011
172	4.891561212
173	4.886287133
174	4.883332255
175	4.879562378
176	4.875143055
177	4.869354242
178	4.865780147
179	4.862443797
180	4.858534535
181	4.855289155
182	4.8535198
183	4.849365776
184	4.847122138
185	4.843695786
186	4.838475062
187	4.835469376
188	4.83274995
189	4.830481528
190	4.824252232
191	4.81988616
192	4.815291148
193	4.810488358
194	4.80471916
195	4.801542138
196	4.79922355
197	4.796280152
198	4.793977494
199	4.790857232
200	4.78833081
201	4.785128471
202	4.781467774
203	4.778033185
204	4.775244598
205	4.771562115
206	4.766567067
207	4.759892435
208	4.756152975
209	4.751189664
210	4.748285803
211	4.745368065
212	4.741694521
213	4.738334429
214	4.734620722
215	4.732705278
216	4.728190297
217	4.725640868
218	4.723525378
219	4.720288713
220	4.716101192
221	4.710644181
222	4.709186811
223	4.70633017
224	4.700811161
225	4.69789608
226	4.695497368
227	4.694397941
228	4.692225926
229	4.687169838
230	4.68545153
231	4.685332498
232	4.684366716
233	4.683748362
234	4.680624199
235	4.678535102
236	4.674590207
237	4.669249102
238	4.666629568
239	4.664803011
240	4.663168064
241	4.659742144
242	4.657696569
243	4.65185681
244	4.651765649
245	4.650055393
246	4.64766364
247	4.644475704
248	4.64197992
249	4.635196687
250	4.631956974
251	4.628422718
252	4.625544892
253	4.62498223
254	4.621530562
255	4.616792864
256	4.611365897
257	4.607261239
258	4.60455149
259	4.602413552
260	4.600254141
261	4.593850562
262	4.588618286
263	4.582206145
264	4.57923043
265	4.576663649
266	4.572713471
267	4.570612494
268	4.570418052
269	4.570174159
270	4.567922363
271	4.562979798
272	4.55830491
273	4.554423125
274	4.551268203
275	4.548616192
276	4.546557084
277	4.542381432
278	4.538352217
279	4.536450659
280	4.536030994
281	4.533086441
282	4.530656051
283	4.52870863
284	4.525313415
285	4.518363495
286	4.514487267
287	4.512738151
288	4.510566197
289	4.505147572
290	4.503954771
291	4.497894961
292	4.494777306
293	4.493124208
294	4.491735071
295	4.488758325
296	4.486289667
297	4.480787996
298	4.47550366
299	4.468810102
300	4.466846656
301	4.464889026
302	4.463136
303	4.460838024
304	4.458548544
305	4.45607793
306	4.452869554
307	4.447964105
308	4.443190243
309	4.438000825
310	4.436237429
311	4.434546319
312	4.432029088
313	4.430341713
314	4.42839405
315	4.424509023
316	4.419615974
317	4.415977571
318	4.413270797
319	4.407451233
320	4.406622808
321	4.404001764
322	4.402154714
323	4.396064482
324	4.392993525
325	4.388437181
326	4.386647981
327	4.384480635
328	4.379564217
329	4.377929449
330	4.373161283
331	4.368659447
332	4.364196446
333	4.361784215
334	4.361602622
335	4.35808824
336	4.354491419
337	4.352537496
338	4.349848343
339	4.348249741
340	4.343676363
341	4.337992202
342	4.336359604
343	4.333735489
344	4.331937484
345	4.329872774
346	4.325944873
347	4.322703949
348	4.318444812
349	4.311735755
350	4.308856613
351	4.304766164
352	4.302815048
353	4.301682528
354	4.29945235
355	4.296151137
356	4.293208601
357	4.293014415
358	4.291032171
359	4.289543462
360	4.288054526
361	4.283876542
362	4.279243476
363	4.275817687
364	4.275316224
365	4.27217477
366	4.268630095
367	4.264605613
368	4.262940858
369	4.260794047
370	4.258138186
371	4.254587524
372	4.253438723
373	4.248487653
374	4.244487363
375	4.244140785
376	4.243604761
377	4.238447322
378	4.237907063
379	4.234515085
380	4.23146292
381	4.2288158
382	4.227801258
383	4.225554647
384	4.222346661
385	4.222196007
386	4.219605974
387	4.216129884
388	4.213247209
389	4.212891658
390	4.210141271
391	4.209600182
392	4.208720451
393	4.207325769
394	4.205048416
395	4.202132715
396	4.199616779
397	4.197776023
398	4.193328543
399	4.19052918
400	4.186707016
401	4.18089817
402	4.178300045
403	4.17803874
404	4.174999029
405	4.16747504
406	4.165647219
407	4.16378858
408	4.16162132
409	4.160429061
410	4.160105381
411	4.15459012
412	4.15218829
413	4.15063626
414	4.14973285
415	4.148219958
416	4.147949402
417	4.14383625
418	4.141256396
419	4.138338952
420	4.137934131
421	4.134891428
422	4.13275931
423	4.132328282
424	4.131982062
425	4.128478049
426	4.127273611
427	4.125981876
428	4.123904758
429	4.121050804
430	4.11793022
431	4.114839118
432	4.113576261
433	4.10933636
434	4.107267028
435	4.103268585
436	4.101535443
437	4.100289873
438	4.098050621
439	4.092104565
440	4.089777258
441	4.087520505
442	4.085045268
443	4.082818691
444	4.080675773
445	4.079493159
446	4.077028427
447	4.073916841
448	4.073677382
449	4.070402292
450	4.069126213
451	4.068405614
452	4.065831553
453	4.063481404
454	4.06235525
455	4.059479664
456	4.054637524
457	4.05066179
458	4.046068809
459	4.044139787
460	4.042473912
461	4.040158516
462	4.039863727
463	4.037436157
464	4.03394351
465	4.032578151
466	4.029620819
467	4.02728212
468	4.026519958
469	4.025229238
470	4.022807074
471	4.021256494
472	4.019177572
473	4.014160324
474	4.012121723
475	4.01126611
476	4.010223915
477	4.009650839
478	4.007294883
479	4.001727554
480	4.001610766
481	4.001487195
482	4.000418049
483	3.997793192
484	3.995341163
485	3.991740082
486	3.990503569
487	3.99025996
488	3.987427933
489	3.984314379
490	3.982573414
491	3.981057256
492	3.977370251
493	3.975410643
494	3.97073
495	3.969664129
496	3.96879063
497	3.965692293
498	3.963740559
499	3.961965137
500	3.960475026
501	3.958659276
502	3.957343123
503	3.957129117
504	3.955451602
505	3.95494872
506	3.953011032
507	3.949510919
508	3.94652478
509	3.946183716
510	3.943893754
511	3.940135868
512	3.937840829
513	3.932285875
514	3.929292156
515	3.927053229
516	3.926625892
517	3.925499329
518	3.92535209
519	3.922793996
520	3.922684409
521	3.921464758
522	3.91855539
523	3.916783864
524	3.914256224
525	3.91242841
526	3.912038964
527	3.908696071
528	3.907604876
529	3.906730104
530	3.905642288
531	3.904226618
532	3.898562241
533	3.89580106
534	3.895649059
535	3.893243518
536	3.88689487
537	3.886490589
538	3.885358699
539	3.883578249
540	3.881492677
541	3.880483393
542	3.87855377
543	3.877542902
544	3.875762428
545	3.873448131
546	3.869037387
547	3.868709823
548	3.867477812
549	3.86710059
550	3.863688127
551	3.863603698
552	3.862003621
553	3.859634988
554	3.857762783
555	3.854350242
556	3.85270208
557	3.85107276
558	3.850872125
559	3.849155192
560	3.848862427
561	3.845385105
562	3.843170485
563	3.842994865
564	3.841245044
565	3.840200363
566	3.837813182
567	3.837173992
568	3.835037766
569	3.834221681
570	3.833292405
571	3.832440501
572	3.826230746
573	3.826044615
574	3.824919951
575	3.822256214
576	3.82022439
577	3.818437542
578	3.817874553
579	3.812303977
580	3.810021215
581	3.809087429
582	3.804956471
583	3.803428163
584	3.798367974
585	3.796520614
586	3.796194973
587	3.794903769
588	3.794563106
589	3.792393212
590	3.791472075
591	3.790925361
592	3.78681829
593	3.785304332
594	3.784609131
595	3.78279634
596	3.782691297
597	3.781122205
598	3.777952079
599	3.776211751
600	3.774274078
601	3.773471691
602	3.772655671
603	3.767995594
604	3.76631984
605	3.764808489
606	3.76375798
607	3.763598788
608	3.763417744
609	3.763081712
610	3.7616199
611	3.760122401
612	3.758297139
613	3.75630351
614	3.754923514
615	3.75232049
616	3.750562184
617	3.746308465
618	3.744750919
619	3.744596449
620	3.743279656
621	3.739753863
622	3.737945606
623	3.735165181
624	3.73294055
625	3.732455885
626	3.729757831
627	3.728289523
628	3.726410663
629	3.722702968
630	3.721430207
631	3.719980432
632	3.719217663
633	3.717196248
634	3.713126356
635	3.708871572
636	3.706967625
637	3.70507413
638	3.702176087
639	3.701872494
640	3.700006075
641	3.697812741
642	3.692316008
643	3.688820033
644	3.687471973
645	3.686351038
646	3.684244541
647	3.684132468
648	3.681293919
649	3.681129871
650	3.679102383
651	3.67814534
652	3.676473254
653	3.675477533
654	3.673593029
655	3.669895752
656	3.669205608
657	3.668452103
658	3.666651141
659	3.665826535
660	3.665504401
661	3.662020833
662	3.661734161
663	3.660272239
664	3.659174297
665	3.658969917
666	3.655899156
667	3.654546198
668	3.651903983
669	3.650817028
670	3.650204959
671	3.646353788
672	3.644983323
673	3.644564151
674	3.643273937
675	3.640658337
676	3.639247361
677	3.635927961
678	3.634646866
679	3.633041648
680	3.632261282
681	3.631820065
682	3.629027973
683	3.62747324
684	3.626037923
685	3.624603691
686	3.624455882
687	3.622838933
688	3.621371172
689	3.620932435
690	3.616578306
691	3.615272562
692	3.610838317
693	3.609802339
694	3.608603859
695	3.605768274
696	3.605113018
697	3.603352068
698	3.602841573
699	3.60155216
700	3.601253269
701	3.599940632
702	3.597023885
703	3.596675568
704	3.594948289
705	3.592971407
706	3.588663572
707	3.587290467
708	3.586414953
709	3.585731594
710	3.582183694
711	3.580212564
712	3.576977045
713	3.5751063
714	3.574822139
715	3.573724551
716	3.571028444
717	3.570753587
718	3.568474366
719	3.56661181
720	3.566225826
721	3.56324227
722	3.56096629
723	3.560222431
724	3.558727895
725	3.556154864
726	3.552622461
727	3.551250495
728	3.550761651
729	3.550344798
730	3.546416618
731	3.545885093
732	3.544823129
733	3.544001793
734	3.5425999
735	3.540959256
736	3.539616323
737	3.537658164
738	3.535009904
739	3.533884356
740	3.529979342
741	3.529794815
742	3.528566137
743	3.526778494
744	3.525198937
745	3.524544234
746	3.524287256
747	3.523184499
748	3.521913368
749	3.520696471
750	3.516904908
751	3.515358118
752	3.51096738
753	3.509620851
754	3.509065781
755	3.507416636
756	3.506017354
757	3.50357852
758	3.501741594
759	3.501697683
760	3.50091776
761	3.498807094
762	3.498364807
763	3.498237212
764	3.497809254
765	3.496663154
766	3.494928842
767	3.493986541
768	3.492566198
769	3.491289943
770	3.489556749
771	3.487456089
772	3.484237043
773	3.481075758
774	3.480380634
775	3.47794592
776	3.477629979
777	3.477152636
778	3.477026915
779	3.47300594
780	3.472884313
781	3.470900236
782	3.469644134
783	3.4683948
784	3.467908287
785	3.464718684
786	3.462942533
787	3.462352486
788	3.459217583
789	3.458267585
790	3.456474494
791	3.455336938
792	3.455075436
793	3.452715292
794	3.452497679
795	3.451824821
796	3.449682525
797	3.445522659
798	3.443672925
799	3.443255318
800	3.439690246
801	3.437612381
802	3.437387513
803	3.436013281
804	3.434059244
805	3.433605091
806	3.431007315
807	3.429278947
808	3.4285779
809	3.427029679
810	3.425846661
811	3.424736909
812	3.421559815
813	3.420891831
814	3.420779301
815	3.417938837
816	3.416332
817	3.416212341
818	3.415147584
819	3.41462365
820	3.413393245
821	3.413006754
822	3.41189758
823	3.410477411
824	3.408547575
825	3.407812253
826	3.406986325
827	3.406744719
828	3.406668876
829	3.403770738
830	3.401900607
831	3.400301774
832	3.399042758
833	3.398928888
834	3.397945322
835	3.396606056
836	3.396284715
837	3.395639592
838	3.3926447
839	3.392284817
840	3.391588367
841	3.389617446
842	3.387408493
843	3.387023249
844	3.383707875
845	3.381247156
846	3.379512354
847	3.376492569
848	3.37521518
849	3.372577039
850	3.372335441
851	3.372106457
852	3.371767492
853	3.369961908
854	3.368640756
855	3.367721963
856	3.367355208
857	3.366159153
858	3.365147141
859	3.364348379
860	3.362374056
861	3.362094623
862	3.36095458
863	3.359603959
864	3.354235065
865	3.352158767
866	3.351598491
867	3.351405588
868	3.348901292
