iter	Passed	Remaining
0	165	164967
1	167	83341
2	171	56999
3	180	44994
4	182	36353
5	190	31574
6	192	27256
7	193	23998
8	195	21491
9	196	19461
10	199	17908
11	204	16814
12	205	15639
13	207	14634
14	209	13738
15	211	12982
16	217	12573
17	221	12057
18	222	11488
19	223	10974
20	225	10518
21	228	10149
22	230	9785
23	231	9431
24	233	9114
25	235	8809
26	235	8502
27	237	8240
28	243	8153
29	247	7995
30	251	7847
31	253	7666
32	257	7542
33	259	7386
34	263	7274
35	265	7099
36	266	6936
37	270	6839
38	274	6751
39	275	6618
40	277	6492
41	280	6392
42	281	6268
43	288	6274
44	290	6174
45	292	6066
46	294	5964
47	295	5861
48	296	5757
49	300	5711
50	305	5684
51	308	5615
52	310	5547
53	333	5841
54	337	5802
55	339	5725
56	343	5690
57	351	5705
58	353	5634
59	355	5562
60	356	5490
61	358	5421
62	362	5393
63	364	5334
64	366	5269
65	368	5208
66	372	5181
67	373	5115
68	374	5056
69	376	4998
70	377	4940
71	379	4895
72	384	4877
73	387	4852
74	388	4796
75	390	4744
76	391	4691
77	392	4637
78	393	4583
79	394	4534
80	395	4484
81	398	4461
82	401	4439
83	403	4395
84	404	4352
85	405	4310
86	406	4267
87	407	4226
88	408	4185
89	409	4145
90	414	4136
91	416	4108
92	417	4071
93	418	4035
94	419	3999
95	421	3964
96	422	3930
97	423	3898
98	424	3865
99	427	3843
100	430	3831
101	431	3802
102	432	3767
103	433	3735
104	434	3706
105	436	3681
106	437	3652
107	439	3626
108	443	3622
109	446	3611
110	447	3585
111	448	3559
112	450	3533
113	451	3507
114	452	3481
115	453	3454
116	454	3429
117	457	3416
118	460	3406
119	461	3382
120	462	3360
121	463	3339
122	466	3325
123	468	3312
124	470	3291
125	475	3299
126	476	3277
127	478	3257
128	479	3236
129	480	3215
130	481	3197
131	483	3179
132	484	3160
133	488	3157
134	491	3148
135	492	3129
136	493	3110
137	494	3091
138	495	3071
139	497	3055
140	498	3039
141	500	3021
142	503	3019
143	507	3015
144	508	2998
145	509	2980
146	510	2963
147	511	2946
148	512	2929
149	514	2913
150	515	2896
151	516	2883
152	520	2884
153	522	2870
154	523	2854
155	524	2836
156	525	2822
157	527	2813
158	528	2797
159	530	2783
160	532	2776
161	535	2772
162	537	2758
163	538	2745
164	539	2731
165	540	2717
166	542	2704
167	543	2690
168	544	2676
169	547	2674
170	550	2670
171	552	2658
172	553	2644
173	554	2632
174	555	2619
175	557	2607
176	558	2596
177	559	2584
178	563	2585
179	566	2579
180	567	2566
181	568	2554
182	569	2542
183	570	2531
184	571	2519
185	572	2507
186	573	2495
187	575	2485
188	578	2482
189	579	2471
190	580	2460
191	581	2449
